2022-01-07 17:40:40,172 auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
2022-01-07 17:40:40,172 auto_trainer.py INFO 107: Device : cuda
2022-01-07 17:40:40,172 auto_trainer.py INFO 108: We are on!!!
2022-01-07 17:40:51,402 auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
2022-01-07 17:41:53,856 auto_trainer.py WARNING 225: Graceful Exit
2022-01-07 17:42:42,999 auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
2022-01-07 17:42:42,999 auto_trainer.py INFO 107: Device : cuda
2022-01-07 17:42:42,999 auto_trainer.py INFO 108: We are on!!!
2022-01-07 17:42:53,204 auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
2022-01-07 20:30:33,246 auto_trainer.py INFO 199: [27/100] At 6 dB, Loss: -0.0121081499 BER: 0.0007800000
2022-01-07 20:30:33,247 auto_trainer.py INFO 200: Time for one full iteration is 27.4440 minutes
2022-01-07 20:58:01,808 auto_trainer.py INFO 199: [28/100] At 6 dB, Loss: -0.0135004856 BER: 0.0007800000
2022-01-07 20:58:01,809 auto_trainer.py INFO 200: Time for one full iteration is 27.4760 minutes
2022-01-07 21:26:07,987 auto_trainer.py INFO 199: [29/100] At 6 dB, Loss: -0.0125238262 BER: 0.0006000000
2022-01-07 21:26:07,987 auto_trainer.py INFO 200: Time for one full iteration is 28.1030 minutes
2022-01-07 21:53:42,431 auto_trainer.py INFO 199: [30/100] At 6 dB, Loss: -0.0126189105 BER: 0.0004400000
2022-01-07 21:53:42,432 auto_trainer.py INFO 200: Time for one full iteration is 27.5741 minutes
2022-01-07 22:21:38,362 auto_trainer.py INFO 199: [31/100] At 6 dB, Loss: -0.0119544305 BER: 0.0005000000
2022-01-07 22:21:38,362 auto_trainer.py INFO 200: Time for one full iteration is 27.9322 minutes
2022-01-07 22:50:21,956 auto_trainer.py INFO 199: [32/100] At 6 dB, Loss: -0.0116174649 BER: 0.0003800000
2022-01-07 22:50:21,957 auto_trainer.py INFO 200: Time for one full iteration is 28.7224 minutes
2022-01-07 23:18:17,144 auto_trainer.py INFO 199: [33/100] At 6 dB, Loss: -0.0130420458 BER: 0.0004000000
2022-01-07 23:18:17,145 auto_trainer.py INFO 200: Time for one full iteration is 27.9198 minutes
2022-01-07 23:46:24,111 auto_trainer.py INFO 199: [34/100] At 6 dB, Loss: -0.0136118680 BER: 0.0004200000
2022-01-07 23:46:24,111 auto_trainer.py INFO 200: Time for one full iteration is 28.1161 minutes
2022-01-08 00:14:39,641 auto_trainer.py INFO 199: [35/100] At 6 dB, Loss: -0.0130328359 BER: 0.0004200000
2022-01-08 00:14:39,642 auto_trainer.py INFO 200: Time for one full iteration is 28.2588 minutes
2022-01-08 00:42:20,200 auto_trainer.py INFO 199: [36/100] At 6 dB, Loss: -0.0161626022 BER: 0.0003000000
2022-01-08 00:42:20,201 auto_trainer.py INFO 200: Time for one full iteration is 27.6760 minutes
2022-01-08 01:10:12,570 auto_trainer.py INFO 199: [37/100] At 6 dB, Loss: -0.0129947402 BER: 0.0003600000
2022-01-08 01:10:12,570 auto_trainer.py INFO 200: Time for one full iteration is 27.8678 minutes
2022-01-08 01:37:50,378 auto_trainer.py INFO 199: [38/100] At 6 dB, Loss: -0.0159421936 BER: 0.0002600000
2022-01-08 01:37:50,379 auto_trainer.py INFO 200: Time for one full iteration is 27.6301 minutes
2022-01-08 02:05:27,701 auto_trainer.py INFO 199: [39/100] At 6 dB, Loss: -0.0149564184 BER: 0.0005000000
2022-01-08 02:05:27,702 auto_trainer.py INFO 200: Time for one full iteration is 27.6220 minutes
2022-01-08 02:33:04,462 auto_trainer.py INFO 199: [40/100] At 6 dB, Loss: -0.0108522521 BER: 0.0002000000
2022-01-08 02:33:04,462 auto_trainer.py INFO 200: Time for one full iteration is 27.6127 minutes
2022-01-08 03:00:13,762 auto_trainer.py INFO 199: [41/100] At 6 dB, Loss: -0.0139970370 BER: 0.0003400000
2022-01-08 03:00:13,763 auto_trainer.py INFO 200: Time for one full iteration is 27.1550 minutes
2022-01-08 03:27:27,506 auto_trainer.py INFO 199: [42/100] At 6 dB, Loss: -0.0136687169 BER: 0.0002200000
2022-01-08 03:27:27,507 auto_trainer.py INFO 200: Time for one full iteration is 27.2255 minutes
2022-01-08 03:54:41,391 auto_trainer.py INFO 199: [43/100] At 6 dB, Loss: -0.0160367228 BER: 0.0002200000
2022-01-08 03:54:41,392 auto_trainer.py INFO 200: Time for one full iteration is 27.2314 minutes
2022-01-08 04:21:56,550 auto_trainer.py INFO 199: [44/100] At 6 dB, Loss: -0.0149967410 BER: 0.0002600000
2022-01-08 04:21:56,550 auto_trainer.py INFO 200: Time for one full iteration is 27.2526 minutes
2022-01-08 04:49:11,530 auto_trainer.py INFO 199: [45/100] At 6 dB, Loss: -0.0145626105 BER: 0.0002000000
2022-01-08 04:49:11,531 auto_trainer.py INFO 200: Time for one full iteration is 27.2497 minutes
2022-01-08 05:16:26,828 auto_trainer.py INFO 199: [46/100] At 6 dB, Loss: -0.0150965536 BER: 0.0003600000
2022-01-08 05:16:26,829 auto_trainer.py INFO 200: Time for one full iteration is 27.2550 minutes
2022-01-08 05:43:31,969 auto_trainer.py INFO 199: [47/100] At 6 dB, Loss: -0.0179082118 BER: 0.0001800000
2022-01-08 05:43:31,969 auto_trainer.py INFO 200: Time for one full iteration is 27.0827 minutes
2022-01-08 06:10:37,479 auto_trainer.py INFO 199: [48/100] At 6 dB, Loss: -0.0179603491 BER: 0.0002800000
2022-01-08 06:10:37,480 auto_trainer.py INFO 200: Time for one full iteration is 27.0918 minutes
2022-01-08 06:37:42,545 auto_trainer.py INFO 199: [49/100] At 6 dB, Loss: -0.0137367677 BER: 0.0003000000
2022-01-08 06:37:42,546 auto_trainer.py INFO 200: Time for one full iteration is 27.0844 minutes
2022-01-08 07:04:47,891 auto_trainer.py INFO 199: [50/100] At 6 dB, Loss: -0.0174742732 BER: 0.0001600000
2022-01-08 07:04:47,892 auto_trainer.py INFO 200: Time for one full iteration is 27.0891 minutes
2022-01-08 07:31:52,394 auto_trainer.py INFO 199: [51/100] At 6 dB, Loss: -0.0171316266 BER: 0.0002400000
2022-01-08 07:31:52,395 auto_trainer.py INFO 200: Time for one full iteration is 27.0751 minutes
2022-01-08 07:59:01,352 auto_trainer.py INFO 199: [52/100] At 6 dB, Loss: -0.0180229861 BER: 0.0002800000
2022-01-08 07:59:01,352 auto_trainer.py INFO 200: Time for one full iteration is 27.1458 minutes
2022-01-08 08:26:06,039 auto_trainer.py INFO 199: [53/100] At 6 dB, Loss: -0.0174878072 BER: 0.0002800000
2022-01-08 08:26:06,040 auto_trainer.py INFO 200: Time for one full iteration is 27.0781 minutes
2022-01-08 08:53:09,832 auto_trainer.py INFO 199: [54/100] At 6 dB, Loss: -0.0208228081 BER: 0.0003000000
2022-01-08 08:53:09,832 auto_trainer.py INFO 200: Time for one full iteration is 27.0632 minutes
2022-01-08 09:20:14,984 auto_trainer.py INFO 199: [55/100] At 6 dB, Loss: -0.0159880351 BER: 0.0001800000
2022-01-08 09:20:14,985 auto_trainer.py INFO 200: Time for one full iteration is 27.0859 minutes
2022-01-08 09:47:18,493 auto_trainer.py INFO 199: [56/100] At 6 dB, Loss: -0.0178643670 BER: 0.0001600000
2022-01-08 09:47:18,493 auto_trainer.py INFO 200: Time for one full iteration is 27.0585 minutes
2022-01-08 10:14:24,460 auto_trainer.py INFO 199: [57/100] At 6 dB, Loss: -0.0191450715 BER: 0.0002200000
2022-01-08 10:14:24,460 auto_trainer.py INFO 200: Time for one full iteration is 27.0954 minutes
2022-01-08 10:41:29,857 auto_trainer.py INFO 199: [58/100] At 6 dB, Loss: -0.0151920347 BER: 0.0002000000
2022-01-08 10:41:29,857 auto_trainer.py INFO 200: Time for one full iteration is 27.0899 minutes
2022-01-08 11:08:35,405 auto_trainer.py INFO 199: [59/100] At 6 dB, Loss: -0.0192878880 BER: 0.0003400000
2022-01-08 11:08:35,406 auto_trainer.py INFO 200: Time for one full iteration is 27.0925 minutes
2022-01-08 11:36:00,100 auto_trainer.py INFO 199: [60/100] At 6 dB, Loss: -0.0202870760 BER: 0.0002800000
2022-01-08 11:36:00,100 auto_trainer.py INFO 200: Time for one full iteration is 27.4116 minutes
2022-01-08 12:03:58,371 auto_trainer.py INFO 199: [61/100] At 6 dB, Loss: -0.0210374109 BER: 0.0002600000
2022-01-08 12:03:58,372 auto_trainer.py INFO 200: Time for one full iteration is 27.9712 minutes
2022-01-08 12:32:01,889 auto_trainer.py INFO 199: [62/100] At 6 dB, Loss: -0.0174672082 BER: 0.0001800000
2022-01-08 12:32:01,890 auto_trainer.py INFO 200: Time for one full iteration is 28.0553 minutes
2022-01-08 13:00:07,030 auto_trainer.py INFO 199: [63/100] At 6 dB, Loss: -0.0192503277 BER: 0.0002200000
2022-01-08 13:00:07,031 auto_trainer.py INFO 200: Time for one full iteration is 28.0857 minutes
2022-01-08 13:28:11,237 auto_trainer.py INFO 199: [64/100] At 6 dB, Loss: -0.0204716828 BER: 0.0002000000
2022-01-08 13:28:11,238 auto_trainer.py INFO 200: Time for one full iteration is 28.0701 minutes
2022-01-08 13:56:16,548 auto_trainer.py INFO 199: [65/100] At 6 dB, Loss: -0.0189964101 BER: 0.0002000000
2022-01-08 13:56:16,548 auto_trainer.py INFO 200: Time for one full iteration is 28.0885 minutes
2022-01-08 14:24:20,938 auto_trainer.py INFO 199: [66/100] At 6 dB, Loss: -0.0187598821 BER: 0.0002600000
2022-01-08 14:24:20,938 auto_trainer.py INFO 200: Time for one full iteration is 28.0732 minutes
2022-01-08 14:52:22,189 auto_trainer.py INFO 199: [67/100] At 6 dB, Loss: -0.0212714802 BER: 0.0002600000
2022-01-08 14:52:22,189 auto_trainer.py INFO 200: Time for one full iteration is 28.0164 minutes
2022-01-08 15:20:21,508 auto_trainer.py INFO 199: [68/100] At 6 dB, Loss: -0.0209846329 BER: 0.0002400000
2022-01-08 15:20:21,508 auto_trainer.py INFO 200: Time for one full iteration is 27.9887 minutes
2022-01-08 15:48:23,012 auto_trainer.py INFO 199: [69/100] At 6 dB, Loss: -0.0194449723 BER: 0.0003000000
2022-01-08 15:48:23,013 auto_trainer.py INFO 200: Time for one full iteration is 28.0251 minutes
2022-01-08 16:16:22,132 auto_trainer.py INFO 199: [70/100] At 6 dB, Loss: -0.0184588842 BER: 0.0001800000
2022-01-08 16:16:22,132 auto_trainer.py INFO 200: Time for one full iteration is 27.9853 minutes
2022-01-08 16:44:22,836 auto_trainer.py INFO 199: [71/100] At 6 dB, Loss: -0.0195602793 BER: 0.0002000000
2022-01-08 16:44:22,836 auto_trainer.py INFO 200: Time for one full iteration is 28.0117 minutes
2022-01-08 17:12:18,907 auto_trainer.py INFO 199: [72/100] At 6 dB, Loss: -0.0201348104 BER: 0.0002600000
2022-01-08 17:12:18,908 auto_trainer.py INFO 200: Time for one full iteration is 27.9310 minutes
2022-01-08 17:40:16,732 auto_trainer.py INFO 199: [73/100] At 6 dB, Loss: -0.0199607108 BER: 0.0003800000
2022-01-08 17:40:16,733 auto_trainer.py INFO 200: Time for one full iteration is 27.9638 minutes
2022-01-08 18:08:12,007 auto_trainer.py INFO 199: [74/100] At 6 dB, Loss: -0.0192160606 BER: 0.0002200000
2022-01-08 18:08:12,007 auto_trainer.py INFO 200: Time for one full iteration is 27.9212 minutes
2022-01-08 18:36:07,412 auto_trainer.py INFO 199: [75/100] At 6 dB, Loss: -0.0263002440 BER: 0.0003000000
2022-01-08 18:36:07,413 auto_trainer.py INFO 200: Time for one full iteration is 27.9234 minutes
2022-01-08 19:04:04,572 auto_trainer.py INFO 199: [76/100] At 6 dB, Loss: -0.0210437644 BER: 0.0000800000
2022-01-08 19:04:04,573 auto_trainer.py INFO 200: Time for one full iteration is 27.9527 minutes
2022-01-08 19:32:08,300 auto_trainer.py INFO 199: [77/100] At 6 dB, Loss: -0.0227242000 BER: 0.0001600000
2022-01-08 19:32:08,301 auto_trainer.py INFO 200: Time for one full iteration is 28.0575 minutes
2022-01-08 20:00:23,591 auto_trainer.py INFO 199: [78/100] At 6 dB, Loss: -0.0224703662 BER: 0.0002200000
2022-01-08 20:00:23,591 auto_trainer.py INFO 200: Time for one full iteration is 28.2548 minutes
2022-01-08 20:28:33,560 auto_trainer.py INFO 199: [79/100] At 6 dB, Loss: -0.0191138443 BER: 0.0002000000
2022-01-08 20:28:33,561 auto_trainer.py INFO 200: Time for one full iteration is 28.1662 minutes
2022-01-08 20:56:48,955 auto_trainer.py INFO 199: [80/100] At 6 dB, Loss: -0.0219444353 BER: 0.0002600000
2022-01-08 20:56:48,955 auto_trainer.py INFO 200: Time for one full iteration is 28.2566 minutes
2022-01-08 21:24:57,634 auto_trainer.py INFO 199: [81/100] At 6 dB, Loss: -0.0212615784 BER: 0.0001400000
2022-01-08 21:24:57,635 auto_trainer.py INFO 200: Time for one full iteration is 28.1447 minutes
2022-01-08 21:52:58,796 auto_trainer.py INFO 199: [82/100] At 6 dB, Loss: -0.0227269810 BER: 0.0001800000
2022-01-08 21:52:58,797 auto_trainer.py INFO 200: Time for one full iteration is 28.0156 minutes
2022-01-08 22:20:59,323 auto_trainer.py INFO 199: [83/100] At 6 dB, Loss: -0.0277436096 BER: 0.0003600000
2022-01-08 22:20:59,324 auto_trainer.py INFO 200: Time for one full iteration is 28.0088 minutes
2022-01-08 22:49:03,163 auto_trainer.py INFO 199: [84/100] At 6 dB, Loss: -0.0234941971 BER: 0.0001800000
2022-01-08 22:49:03,164 auto_trainer.py INFO 200: Time for one full iteration is 28.0640 minutes
2022-01-08 23:17:09,840 auto_trainer.py INFO 199: [85/100] At 6 dB, Loss: -0.0239688382 BER: 0.0001200000
2022-01-08 23:17:09,840 auto_trainer.py INFO 200: Time for one full iteration is 28.1113 minutes
2022-01-08 23:45:14,466 auto_trainer.py INFO 199: [86/100] At 6 dB, Loss: -0.0263815187 BER: 0.0002000000
2022-01-08 23:45:14,467 auto_trainer.py INFO 200: Time for one full iteration is 28.0771 minutes
2022-01-09 00:13:19,034 auto_trainer.py INFO 199: [87/100] At 6 dB, Loss: -0.0219832957 BER: 0.0002400000
2022-01-09 00:13:19,035 auto_trainer.py INFO 200: Time for one full iteration is 28.0728 minutes
2022-01-09 00:41:21,230 auto_trainer.py INFO 199: [88/100] At 6 dB, Loss: -0.0223332662 BER: 0.0001800000
2022-01-09 00:41:21,231 auto_trainer.py INFO 200: Time for one full iteration is 28.0366 minutes
2022-01-09 01:09:22,921 auto_trainer.py INFO 199: [89/100] At 6 dB, Loss: -0.0261880457 BER: 0.0001800000
2022-01-09 01:09:22,922 auto_trainer.py INFO 200: Time for one full iteration is 28.0282 minutes
2022-01-09 01:37:26,659 auto_trainer.py INFO 199: [90/100] At 6 dB, Loss: -0.0231089015 BER: 0.0002200000
2022-01-09 01:37:26,659 auto_trainer.py INFO 200: Time for one full iteration is 28.0623 minutes
2022-01-09 02:05:25,201 auto_trainer.py INFO 199: [91/100] At 6 dB, Loss: -0.0226049758 BER: 0.0003400000
2022-01-09 02:05:25,201 auto_trainer.py INFO 200: Time for one full iteration is 27.9757 minutes
2022-01-09 02:33:25,246 auto_trainer.py INFO 199: [92/100] At 6 dB, Loss: -0.0234638620 BER: 0.0001200000
2022-01-09 02:33:25,247 auto_trainer.py INFO 200: Time for one full iteration is 27.9973 minutes
2022-01-09 03:01:28,084 auto_trainer.py INFO 199: [93/100] At 6 dB, Loss: -0.0264849700 BER: 0.0000600000
2022-01-09 03:01:28,085 auto_trainer.py INFO 200: Time for one full iteration is 28.0473 minutes
2022-01-09 03:29:31,467 auto_trainer.py INFO 199: [94/100] At 6 dB, Loss: -0.0231472272 BER: 0.0001400000
2022-01-09 03:29:31,467 auto_trainer.py INFO 200: Time for one full iteration is 28.0564 minutes
2022-01-09 03:57:35,310 auto_trainer.py INFO 199: [95/100] At 6 dB, Loss: -0.0238479469 BER: 0.0002400000
2022-01-09 03:57:35,310 auto_trainer.py INFO 200: Time for one full iteration is 28.0640 minutes
2022-01-09 04:25:34,712 auto_trainer.py INFO 199: [96/100] At 6 dB, Loss: -0.0274587553 BER: 0.0002000000
2022-01-09 04:25:34,712 auto_trainer.py INFO 200: Time for one full iteration is 27.9900 minutes
2022-01-09 04:53:38,047 auto_trainer.py INFO 199: [97/100] At 6 dB, Loss: -0.0242504682 BER: 0.0003000000
2022-01-09 04:53:38,047 auto_trainer.py INFO 200: Time for one full iteration is 28.0507 minutes
2022-01-09 05:21:42,604 auto_trainer.py INFO 199: [98/100] At 6 dB, Loss: -0.0297862068 BER: 0.0002000000
2022-01-09 05:21:42,604 auto_trainer.py INFO 200: Time for one full iteration is 28.0759 minutes
2022-01-09 05:49:45,614 auto_trainer.py INFO 199: [99/100] At 6 dB, Loss: -0.0239561908 BER: 0.0001400000
2022-01-09 05:49:45,615 auto_trainer.py INFO 200: Time for one full iteration is 28.0502 minutes
2022-01-09 06:17:49,426 auto_trainer.py INFO 199: [100/100] At 6 dB, Loss: -0.0252963677 BER: 0.0001600000
2022-01-09 06:17:49,427 auto_trainer.py INFO 200: Time for one full iteration is 28.0635 minutes
2022-01-09 06:17:49,427 auto_trainer.py WARNING 228: Finished
