2022-01-09 15:59:30,275 auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
2022-01-09 15:59:30,275 auto_trainer.py INFO 107: Device : cuda
2022-01-09 15:59:30,275 auto_trainer.py INFO 108: We are on!!!
2022-01-09 15:59:41,326 auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
2022-01-09 22:10:38,284 auto_trainer.py INFO 199: [37/100] At 6 dB, Loss: -0.0128006339 BER: 0.0004400000
2022-01-09 22:10:38,285 auto_trainer.py INFO 200: Time for one full iteration is 23.9446 minutes
2022-01-09 22:33:12,214 auto_trainer.py INFO 199: [38/100] At 6 dB, Loss: -0.0151848672 BER: 0.0003800000
2022-01-09 22:33:12,215 auto_trainer.py INFO 200: Time for one full iteration is 22.5655 minutes
2022-01-09 22:57:06,321 auto_trainer.py INFO 199: [39/100] At 6 dB, Loss: -0.0142180398 BER: 0.0003000000
2022-01-09 22:57:06,321 auto_trainer.py INFO 200: Time for one full iteration is 23.9018 minutes
2022-01-09 23:22:31,425 auto_trainer.py INFO 199: [40/100] At 6 dB, Loss: -0.0103359446 BER: 0.0004600000
2022-01-09 23:22:31,426 auto_trainer.py INFO 200: Time for one full iteration is 25.4184 minutes
2022-01-09 23:47:48,653 auto_trainer.py INFO 199: [41/100] At 6 dB, Loss: -0.0132564800 BER: 0.0003800000
2022-01-09 23:47:48,653 auto_trainer.py INFO 200: Time for one full iteration is 25.2871 minutes
2022-01-10 00:13:34,848 auto_trainer.py INFO 199: [42/100] At 6 dB, Loss: -0.0129252253 BER: 0.0003600000
2022-01-10 00:13:34,848 auto_trainer.py INFO 200: Time for one full iteration is 25.7664 minutes
2022-01-10 00:36:02,259 auto_trainer.py INFO 199: [43/100] At 6 dB, Loss: -0.0151177514 BER: 0.0002600000
2022-01-10 00:36:02,260 auto_trainer.py INFO 200: Time for one full iteration is 22.4569 minutes
2022-01-10 00:58:09,632 auto_trainer.py INFO 199: [44/100] At 6 dB, Loss: -0.0141105698 BER: 0.0003400000
2022-01-10 00:58:09,633 auto_trainer.py INFO 200: Time for one full iteration is 22.1229 minutes
2022-01-10 01:20:16,528 auto_trainer.py INFO 199: [45/100] At 6 dB, Loss: -0.0136771025 BER: 0.0001400000
2022-01-10 01:20:16,529 auto_trainer.py INFO 200: Time for one full iteration is 22.1149 minutes
2022-01-10 01:42:23,772 auto_trainer.py INFO 199: [46/100] At 6 dB, Loss: -0.0141544817 BER: 0.0003600000
2022-01-10 01:42:23,773 auto_trainer.py INFO 200: Time for one full iteration is 22.1207 minutes
2022-01-10 02:05:55,273 auto_trainer.py INFO 199: [47/100] At 6 dB, Loss: -0.0167828370 BER: 0.0003000000
2022-01-10 02:05:55,274 auto_trainer.py INFO 200: Time for one full iteration is 23.5221 minutes
2022-01-10 02:30:11,952 auto_trainer.py INFO 199: [48/100] At 6 dB, Loss: -0.0167919844 BER: 0.0001400000
2022-01-10 02:30:11,952 auto_trainer.py INFO 200: Time for one full iteration is 24.2780 minutes
2022-01-10 02:54:33,277 auto_trainer.py INFO 199: [49/100] At 6 dB, Loss: -0.0128172087 BER: 0.0002800000
2022-01-10 02:54:33,278 auto_trainer.py INFO 200: Time for one full iteration is 24.3554 minutes
2022-01-10 03:17:20,898 auto_trainer.py INFO 199: [50/100] At 6 dB, Loss: -0.0162664633 BER: 0.0002600000
2022-01-10 03:17:20,899 auto_trainer.py INFO 200: Time for one full iteration is 22.7937 minutes
2022-01-10 03:39:28,642 auto_trainer.py INFO 199: [51/100] At 6 dB, Loss: -0.0159303304 BER: 0.0002800000
2022-01-10 03:39:28,643 auto_trainer.py INFO 200: Time for one full iteration is 22.1291 minutes
2022-01-10 04:01:39,955 auto_trainer.py INFO 199: [52/100] At 6 dB, Loss: -0.0166310109 BER: 0.0003400000
2022-01-10 04:01:39,956 auto_trainer.py INFO 200: Time for one full iteration is 22.1854 minutes
2022-01-10 04:23:50,562 auto_trainer.py INFO 199: [53/100] At 6 dB, Loss: -0.0159447081 BER: 0.0002800000
2022-01-10 04:23:50,562 auto_trainer.py INFO 200: Time for one full iteration is 22.1768 minutes
2022-01-10 04:46:01,367 auto_trainer.py INFO 199: [54/100] At 6 dB, Loss: -0.0192644484 BER: 0.0003200000
2022-01-10 04:46:01,368 auto_trainer.py INFO 200: Time for one full iteration is 22.1801 minutes
2022-01-10 05:08:12,225 auto_trainer.py INFO 199: [55/100] At 6 dB, Loss: -0.0147400564 BER: 0.0002800000
2022-01-10 05:08:12,226 auto_trainer.py INFO 200: Time for one full iteration is 22.1810 minutes
2022-01-10 05:30:23,744 auto_trainer.py INFO 199: [56/100] At 6 dB, Loss: -0.0164918434 BER: 0.0003200000
2022-01-10 05:30:23,745 auto_trainer.py INFO 200: Time for one full iteration is 22.1920 minutes
2022-01-10 05:52:32,221 auto_trainer.py INFO 199: [57/100] At 6 dB, Loss: -0.0176468622 BER: 0.0002200000
2022-01-10 05:52:32,221 auto_trainer.py INFO 200: Time for one full iteration is 22.1375 minutes
2022-01-10 06:14:39,876 auto_trainer.py INFO 199: [58/100] At 6 dB, Loss: -0.0139780622 BER: 0.0003000000
2022-01-10 06:14:39,877 auto_trainer.py INFO 200: Time for one full iteration is 22.1276 minutes
2022-01-10 06:36:48,931 auto_trainer.py INFO 199: [59/100] At 6 dB, Loss: -0.0177372098 BER: 0.0003600000
2022-01-10 06:36:48,931 auto_trainer.py INFO 200: Time for one full iteration is 22.1509 minutes
2022-01-10 06:58:56,871 auto_trainer.py INFO 199: [60/100] At 6 dB, Loss: -0.0186018627 BER: 0.0001800000
2022-01-10 06:58:56,872 auto_trainer.py INFO 200: Time for one full iteration is 22.1323 minutes
2022-01-10 07:21:05,153 auto_trainer.py INFO 199: [61/100] At 6 dB, Loss: -0.0192772262 BER: 0.0003000000
2022-01-10 07:21:05,154 auto_trainer.py INFO 200: Time for one full iteration is 22.1380 minutes
2022-01-10 07:43:18,031 auto_trainer.py INFO 199: [62/100] At 6 dB, Loss: -0.0159909390 BER: 0.0001800000
2022-01-10 07:43:18,032 auto_trainer.py INFO 200: Time for one full iteration is 22.2113 minutes
2022-01-10 08:05:27,589 auto_trainer.py INFO 199: [63/100] At 6 dB, Loss: -0.0176039636 BER: 0.0002200000
2022-01-10 08:05:27,590 auto_trainer.py INFO 200: Time for one full iteration is 22.1593 minutes
2022-01-10 08:27:37,821 auto_trainer.py INFO 199: [64/100] At 6 dB, Loss: -0.0195246376 BER: 0.0003400000
2022-01-10 08:27:37,822 auto_trainer.py INFO 200: Time for one full iteration is 22.1705 minutes
2022-01-10 08:49:47,940 auto_trainer.py INFO 199: [65/100] At 6 dB, Loss: -0.0173418764 BER: 0.0002800000
2022-01-10 08:49:47,941 auto_trainer.py INFO 200: Time for one full iteration is 22.1686 minutes
2022-01-10 09:11:58,218 auto_trainer.py INFO 199: [66/100] At 6 dB, Loss: -0.0171013717 BER: 0.0001400000
2022-01-10 09:11:58,219 auto_trainer.py INFO 200: Time for one full iteration is 22.1713 minutes
2022-01-10 09:34:04,261 auto_trainer.py INFO 199: [67/100] At 6 dB, Loss: -0.0193570480 BER: 0.0001400000
2022-01-10 09:34:04,262 auto_trainer.py INFO 200: Time for one full iteration is 22.0978 minutes
2022-01-10 09:56:09,660 auto_trainer.py INFO 199: [68/100] At 6 dB, Loss: -0.0190666076 BER: 0.0002600000
2022-01-10 09:56:09,660 auto_trainer.py INFO 200: Time for one full iteration is 22.0900 minutes
2022-01-10 10:18:15,686 auto_trainer.py INFO 199: [69/100] At 6 dB, Loss: -0.0176397283 BER: 0.0002800000
2022-01-10 10:18:15,686 auto_trainer.py INFO 200: Time for one full iteration is 22.1004 minutes
